,Floor,Kitchen,Bedrooms,Bathrooms,Toilets,Primary Energy Consumption (in kWh/m²),Energy Class,CO₂ emission,Heating Type,Double Glazing,Rent (in €),Additional Costs (in €),Tenement,House Type,Living Area (in m²),Furnished,Building Condition,Elevator,Total Rent (in €)
281,6,Installed,1,1,1,366,Others,73,Gas,Yes,990.0,185,No,Apartment ,70,No,Good,Yes,1175.0
282,6,Installed,1,1,1,366,Others,73,Gas,Yes,990.0,185,No,Apartment ,70,No,Good,Yes,1175.0
283,2,USA hyper equipped,2,1,2,226,E,45,Gas,Yes,1300.0,200,No,Apartment ,100,No,As new,Yes,1500.0
284,6,Installed,2,1,1,217,Not specified,46,Gas,Yes,1200.0,300,No,Apartment ,128,No,As new,Yes,1500.0
287,4,Others,2,1,1,357,Others,69,Gas,Yes,1080.0,300,No,Apartment ,100,No,As new,Yes,1380.0
289,2,Hyper equipped,2,1,2,169,D,47,Gas,Yes,1850.0,0,No,Apartment ,149,No,As new,Yes,1850.0
290,0,Installed,4,1,2,306,F,60,Gas,No,2250.0,0,No,Others,132,No,As new,Unknown,2250.0
292,0,USA hyper equipped,1,1,1,231,E,46,Others,Yes,945.0,125,No,Others,55,Yes,Just renovated,Yes,1070.0
293,0,Hyper equipped,2,1,2,170,D,36,Gas,Yes,1550.0,130,No,Apartment ,90,Unknown,As new,Yes,1680.0
294,2,Hyper equipped,1,1,1,161,Not specified,24,Gas,Yes,1290.0,90,No,Apartment ,75,Yes,Just renovated,Yes,1380.0
296,2,Hyper equipped,2,1,1,149,C,58,Gas,Yes,1100.0,0,No,Apartment ,78,No,As new,Yes,1100.0
297,0,Hyper equipped,1,1,1,124,Not specified,20,Gas,Yes,870.0,90,No,Others,85,Unknown,Good,No,960.0
299,0,Installed,2,2,1,74,Not specified,92,Gas,Yes,1125.0,100,No,Apartment ,80,No,As new,Yes,1225.0
300,4,USA hyper equipped,3,2,1,162,Not specified,15,Gas,Yes,1595.0,200,No,Others,120,Yes,Good,Yes,1795.0
302,6,Hyper equipped,1,1,1,81,B,16,Gas,Yes,1500.0,75,No,Apartment ,70,Yes,As new,Yes,1575.0
303,3,Hyper equipped,2,1,1,247,Not specified,63,Gas,Yes,1250.0,175,No,Apartment ,136,Unknown,As new,Yes,1425.0
304,4,Installed,2,1,1,256,Not specified,50,Gas,Yes,650.0,150,No,Others,47,Unknown,As new,Yes,800.0
305,0,Installed,3,1,2,136,C,40,Gas,No,2050.0,100,No,Apartment ,110,Yes,Good,No,2150.0
306,4,Installed,1,1,1,255,Not specified,53,Gas,No,1350.0,0,No,Others,42,Yes,As new,Yes,1350.0
307,0,USA hyper equipped,2,2,2,161,Not specified,36,Gas,Yes,1290.0,110,No,Others,98,No,As new,Yes,1400.0
308,0,Installed,2,1,2,247,Not specified,63,Gas,Yes,1250.0,0,No,Others,90,No,As new,Unknown,1250.0
310,6,Hyper equipped,3,1,2,224,E,47,Gas,Yes,1950.0,350,No,Apartment ,140,No,Just renovated,Yes,2300.0
311,2,Others,1,1,1,191,D,79,Gas,Yes,800.0,0,No,Apartment ,67,No,Good,Unknown,800.0
312,2,Hyper equipped,2,1,2,35,Others,52,Gas,Yes,1690.0,10,No,Others,140,Unknown,As new,Unknown,1700.0
315,1,Installed,2,1,1,159,D,39,Gas,Yes,1000.0,0,No,Apartment ,73,No,Good,Yes,1000.0
317,1,Hyper equipped,3,2,1,223,E,47,Gas,No,1950.0,0,No,Duplex ,167,No,As new,Unknown,1950.0
318,0,Hyper equipped,3,2,1,223,E,47,Gas,No,1950.0,0,No,Others,167,No,As new,Unknown,1950.0
319,0,USA hyper equipped,2,2,2,130,C,34,Gas,Yes,1575.0,150,No,Apartment ,102,No,As new,Yes,1725.0
320,3,Hyper equipped,2,1,1,224,E,48,Gas,Yes,950.0,150,No,Apartment ,95,No,Good,Yes,1100.0
321,2,Hyper equipped,1,1,1,157,D,31,Gas,Yes,940.0,0,No,Apartment ,70,No,As new,Yes,940.0
322,3,Installed,1,1,1,206,Not specified,44,Others,No,1050.0,0,No,Apartment ,71,Yes,As new,Unknown,1050.0
323,0,USA hyper equipped,1,1,1,370,Others,59,Gas,Yes,1200.0,175,No,Apartment ,73,Yes,As new,Yes,1375.0
324,1,Hyper equipped,1,1,1,365,Not specified,79,Gas,No,800.0,0,No,Apartment ,60,Unknown,As new,Unknown,800.0
325,3,USA hyper equipped,1,1,1,225,E,36,Others,Yes,800.0,130,No,Apartment ,55,No,As new,Yes,930.0
326,1,Hyper equipped,2,2,2,137,C,35,Gas,Yes,1600.0,250,No,Apartment ,100,No,As new,Yes,1850.0
327,2,Hyper equipped,2,1,1,195,D,38,Gas,Yes,1400.0,185,No,Apartment ,105,Unknown,Just renovated,Yes,1585.0
330,1,Others,2,1,1,365,Not specified,79,Gas,No,800.0,0,No,Apartment ,80,Unknown,As new,Yes,800.0
332,4,USA hyper equipped,1,1,1,245,Not specified,53,Gas,Yes,950.0,80,No,Apartment ,60,Unknown,As new,Yes,1030.0
333,5,USA hyper equipped,1,1,1,89,B,15,Gas,Yes,950.0,100,No,Others,45,Unknown,As new,Yes,1050.0
335,1,USA hyper equipped,2,2,1,241,E,55,Gas,Yes,1500.0,100,No,Apartment ,70,Yes,As new,Unknown,1600.0
336,4,Installed,2,1,2,152,D,42,Gas,Yes,1800.0,200,No,Apartment ,135,No,As new,Unknown,2000.0
339,2,USA hyper equipped,2,1,1,257,E,51,Gas,Yes,1200.0,0,No,Apartment ,86,No,Good,No,1200.0
341,3,USA hyper equipped,2,1,1,165,D,33,Gas,Yes,1350.0,250,No,Apartment ,103,No,As new,Yes,1600.0
342,3,USA hyper equipped,2,1,1,165,D,33,Gas,Yes,1350.0,250,No,Apartment ,103,No,As new,Yes,1600.0
344,2,Hyper equipped,2,1,1,233,E,46,Gas,Yes,1120.0,180,No,Apartment ,75,Unknown,Just renovated,Unknown,1300.0
345,1,Hyper equipped,2,1,1,151,C,30,Gas,Yes,1100.0,205,No,Apartment ,92,No,As new,Yes,1305.0
346,1,USA hyper equipped,3,2,2,50,B,12,Gas,Yes,1875.0,200,No,Apartment ,120,No,As new,Yes,2075.0
347,3,USA installed,3,2,2,220,Not specified,47,Gas,Yes,1300.0,230,No,Apartment ,116,No,As new,Yes,1530.0
348,1,Hyper equipped,3,2,3,166,D,52,Gas,Yes,1600.0,300,No,Apartment ,165,Yes,As new,Yes,1900.0
349,0,USA hyper equipped,1,1,1,135,C,29,Gas,Yes,1260.0,250,No,Apartment ,60,Yes,As new,No,1510.0
350,2,USA hyper equipped,1,1,1,203,Not specified,6,Gas,Yes,1000.0,80,No,Others,40,Yes,As new,Yes,1080.0
351,1,USA hyper equipped,1,1,1,245,Not specified,53,Gas,Yes,950.0,100,No,Others,40,Yes,As new,Yes,1050.0
352,2,Hyper equipped,1,1,1,173,D,34,Gas,Yes,900.0,85,No,Apartment ,57,No,Just renovated,Unknown,985.0
355,1,USA hyper equipped,2,1,1,41,Others,11,Gas,Yes,1450.0,150,No,Apartment ,91,No,As new,Yes,1600.0
356,0,Hyper equipped,1,1,1,265,Not specified,67,Gas,Yes,920.0,130,No,Others,63,No,Good,Yes,1050.0
359,4,USA hyper equipped,1,1,1,41,Others,9,Gas,Yes,1125.0,140,No,Apartment ,65,No,As new,Yes,1265.0
360,0,USA hyper equipped,1,1,1,67,B,10,Gas,Yes,1125.0,140,No,Others,76,No,As new,Yes,1265.0
361,1,Hyper equipped,2,1,1,162,D,58,Gas,Yes,1100.0,0,No,Apartment ,75,Unknown,Just renovated,No,1100.0
362,3,USA hyper equipped,3,1,2,200,Not specified,42,Gas,No,1800.0,0,No,Apartment ,110,Unknown,As new,No,1800.0
363,0,Hyper equipped,3,1,2,210,D,43,Gas,Yes,2250.0,0,No,Others,175,Unknown,As new,Unknown,2250.0
364,3,Hyper equipped,2,1,1,122,C,23,Gas,Yes,1100.0,0,No,Apartment ,85,No,As new,Yes,1100.0
365,2,Installed,1,1,1,272,Not specified,58,Gas,Yes,850.0,0,No,Apartment ,60,No,Good,No,850.0
366,0,Installed,1,1,1,49,B,10,Gas,Yes,780.0,40,No,Others,50,No,As new,Yes,820.0
368,0,Hyper equipped,1,1,1,365,Not specified,51,Gas,Yes,800.0,0,No,Duplex ,42,No,Good,Unknown,800.0
369,2,Hyper equipped,1,1,1,435,Others,87,Gas,Yes,900.0,0,No,Duplex ,53,No,Good,Unknown,900.0
370,4,USA hyper equipped,1,1,1,74,Not specified,41,Gas,Yes,1125.0,140,No,Apartment ,65,No,As new,Yes,1265.0
371,2,Installed,1,1,1,243,Not specified,51,Gas,Yes,735.0,0,No,Apartment ,45,Unknown,Just renovated,Unknown,735.0
372,0,Hyper equipped,1,1,2,271,E,54,Gas,Yes,1250.0,0,No,Apartment ,90,No,As new,Unknown,1250.0
373,0,Hyper equipped,1,1,2,271,E,54,Gas,Yes,1250.0,0,No,Others,90,No,As new,Unknown,1250.0
374,1,Installed,1,1,1,257,E,51,Gas,Yes,720.0,0,No,Others,45,No,As new,Yes,720.0
375,2,Installed,1,1,1,233,E,44,Gas,Yes,790.0,0,No,Apartment ,75,No,As new,Yes,790.0
376,0,Hyper equipped,2,1,1,327,F,49,Gas,Yes,1150.0,200,No,Others,85,Yes,As new,Yes,1350.0
377,4,Hyper equipped,2,1,1,263,E,53,Gas,Yes,1200.0,375,No,Apartment ,65,Yes,Good,Yes,1575.0
378,0,Hyper equipped,1,1,1,143,C,11,Gas,Yes,1100.0,150,No,Others,49,Yes,As new,Yes,1250.0
379,0,Hyper equipped,1,1,1,228,E,40,Gas,Yes,925.0,200,No,Others,65,No,Good,Yes,1125.0
380,1,Installed,1,1,1,236,E,84,Gas,Yes,840.0,0,No,Apartment ,80,No,Good,Unknown,840.0
381,2,USA installed,3,2,2,106,C,21,Gas,Yes,1250.0,110,No,Apartment ,114,No,As new,Yes,1360.0
382,2,Hyper equipped,2,1,2,368,Others,46,Gas,Yes,1200.0,60,No,Duplex ,95,No,As new,Unknown,1260.0
383,4,Installed,2,1,1,1,Others,1,Gas,No,1750.0,50,No,Others,95,No,As new,Yes,1800.0
384,5,Installed,2,1,1,101,C,20,Gas,No,1300.0,175,No,Apartment ,95,No,As new,Unknown,1475.0
385,1,Installed,1,1,1,247,Not specified,63,Gas,No,1250.0,0,No,Apartment ,70,Yes,As new,Unknown,1250.0
386,5,Hyper equipped,2,2,1,145,C,29,Gas,Yes,1450.0,150,No,Apartment ,125,No,Just renovated,Yes,1600.0
388,2,Hyper equipped,2,1,2,64,B,13,Gas,Yes,1795.0,75,No,Apartment ,140,Yes,As new,Yes,1870.0
389,3,Installed,1,1,1,381,Not specified,73,Gas,No,890.0,0,No,Apartment ,50,No,As new,Unknown,890.0
390,3,Installed,1,1,1,365,Not specified,79,Gas,No,800.0,160,No,Others,60,Yes,As new,Unknown,960.0
391,2,Hyper equipped,2,2,1,170,D,36,Gas,Yes,1200.0,250,No,Duplex ,108,No,As new,Yes,1450.0
392,5,Hyper equipped,1,1,2,151,C,38,Gas,Yes,875.0,190,No,Apartment ,68,Yes,As new,Yes,1065.0
393,1,Hyper equipped,2,1,1,364,Others,57,Gas,Yes,650.0,110,No,Others,45,Yes,Good,Yes,760.0
394,4,Hyper equipped,1,1,1,326,Not specified,72,Gas,Yes,825.0,0,No,Apartment ,62,Unknown,Good,Yes,825.0
395,3,Hyper equipped,2,1,1,253,E,49,Gas,Yes,1150.0,80,No,Apartment ,85,No,As new,Yes,1230.0
396,4,Hyper equipped,2,1,2,116,C,25,Gas,Yes,1180.0,250,No,Duplex ,153,No,As new,Yes,1430.0
397,0,USA hyper equipped,1,1,1,121,C,24,Gas,Yes,850.0,100,No,Apartment ,61,No,Good,Yes,950.0
398,2,USA installed,1,1,1,251,Not specified,58,Gas,Yes,1075.0,15,No,Apartment ,60,Yes,As new,No,1090.0
399,3,USA hyper equipped,2,1,1,131,C,26,Gas,Yes,1500.0,150,No,Others,90,Unknown,As new,Yes,1650.0
400,2,Others,4,2,2,195,Not specified,40,Gas,Yes,1750.0,20,No,Duplex ,137,No,Good,No,1770.0
401,6,USA hyper equipped,1,1,1,308,Not specified,48,Gas,No,1395.0,100,No,Apartment ,75,Unknown,As new,Yes,1495.0
402,4,Hyper equipped,3,2,2,116,C,25,Others,Yes,2490.0,190,No,Duplex ,165,Yes,As new,No,2680.0
404,4,Hyper equipped,2,1,1,194,D,50,Others,Yes,1290.0,0,No,Apartment ,80,Yes,As new,Yes,1290.0
406,0,Hyper equipped,1,1,1,166,D,49,Gas,Yes,850.0,175,No,Others,50,Yes,As new,No,1025.0
408,1,Hyper equipped,2,1,1,204,D,44,Gas,Yes,1200.0,200,No,Apartment ,83,No,As new,Yes,1400.0
409,1,Hyper equipped,2,2,1,306,F,42,Gas,Yes,1790.0,0,No,Apartment ,135,No,As new,Unknown,1790.0
410,1,Installed,3,1,1,178,D,40,Others,Yes,1350.0,200,No,Apartment ,120,No,As new,Yes,1550.0
411,6,Hyper equipped,2,1,1,202,D,40,Gas,Yes,1500.0,250,No,Apartment ,110,No,As new,Yes,1750.0
412,1,Hyper equipped,3,1,2,86,B,35,Gas,Yes,2800.0,0,No,Duplex ,192,No,Good,Yes,2800.0
414,1,USA hyper equipped,1,1,1,208,D,50,Gas,Yes,900.0,10,No,Apartment ,50,Yes,As new,Unknown,910.0
415,2,Hyper equipped,2,1,1,222,E,47,Gas,Yes,1300.0,50,No,Duplex ,109,No,As new,Unknown,1350.0
416,1,Installed,1,1,1,398,Others,69,Gas,Yes,720.0,80,No,Apartment ,45,No,Good,Unknown,800.0
417,0,Installed,1,1,1,311,F,62,Gas,No,995.0,200,No,Apartment ,100,No,As new,Unknown,1195.0
418,0,Others,3,1,2,206,Not specified,53,Gas,Yes,2400.0,300,No,Others,145,Unknown,Just renovated,Yes,2700.0
419,1,Installed,2,1,2,199,Not specified,38,Gas,Yes,1380.0,0,No,Duplex ,100,Unknown,Good,No,1380.0
420,2,USA installed,1,1,1,245,Not specified,53,Gas,Yes,950.0,65,No,Apartment ,65,Unknown,As new,Yes,1015.0
422,4,Others,1,1,1,357,Not specified,85,Gas,Yes,700.0,35,No,Duplex ,60,Yes,Just renovated,No,735.0
423,2,Installed,1,1,1,256,Not specified,50,Gas,Yes,650.0,150,No,Apartment ,50,No,Good,Unknown,800.0
425,2,USA installed,1,1,1,224,E,58,Gas,Yes,850.0,0,No,Apartment ,60,No,As new,Unknown,850.0
426,0,USA installed,1,1,1,224,E,53,Gas,Yes,950.0,0,No,Apartment ,60,No,Just renovated,No,950.0
427,3,Others,1,1,1,260,E,58,Gas,Yes,850.0,125,No,Apartment ,90,No,Good,Unknown,975.0
432,3,USA installed,2,1,1,277,Not specified,61,Gas,Yes,750.0,0,No,Duplex ,70,Unknown,As new,Unknown,750.0
435,4,USA hyper equipped,1,1,1,206,Not specified,50,Gas,Yes,1050.0,100,No,Apartment ,60,No,As new,Yes,1150.0
437,1,Installed,1,1,1,341,F,68,Gas,Yes,700.0,120,No,Others,35,Yes,Good,Yes,820.0
438,3,USA installed,2,2,2,93,B,18,Gas,Yes,1325.0,150,No,Apartment ,113,Unknown,Good,Yes,1475.0
439,2,Hyper equipped,2,1,1,99,C,47,Gas,Yes,1300.0,50,No,Apartment ,100,No,As new,Yes,1350.0
440,0,Hyper equipped,3,2,1,112,C,24,Gas,Yes,1900.0,195,No,Apartment ,135,No,Good,Unknown,2095.0
441,1,Hyper equipped,2,1,1,151,C,30,Gas,Yes,1100.0,205,No,Apartment ,90,No,As new,Yes,1305.0
442,2,Hyper equipped,3,2,2,132,C,26,Gas,Yes,1950.0,225,No,Apartment ,151,No,As new,Yes,2175.0
443,3,Others,2,1,1,331,F,39,Gas,Yes,1000.0,75,No,Apartment ,75,No,Good,Unknown,1075.0
446,4,USA hyper equipped,2,2,1,38,Others,8,Gas,Yes,1650.0,100,No,Apartment ,100,No,As new,Yes,1750.0
447,1,Hyper equipped,2,2,1,202,D,24,Gas,Yes,1300.0,175,No,Apartment ,105,No,As new,Yes,1475.0
448,0,Hyper equipped,1,1,1,153,D,30,Gas,Yes,1350.0,25,No,Others,85,Unknown,Just renovated,Unknown,1375.0
449,3,Hyper equipped,1,1,1,263,Not specified,50,Gas,Yes,900.0,150,No,Apartment ,50,No,As new,Yes,1050.0
451,1,USA hyper equipped,1,1,1,233,Not specified,58,Gas,Yes,1100.0,0,No,Apartment ,78,Unknown,As new,No,1100.0
452,4,USA hyper equipped,2,1,1,114,C,24,Gas,Yes,1150.0,120,No,Apartment ,95,Unknown,Good,No,1270.0
453,5,USA hyper equipped,1,1,1,153,D,30,Gas,Yes,620.0,125,No,Others,36,Unknown,As new,Yes,745.0
454,1,Others,3,1,1,233,Not specified,58,Gas,Yes,1100.0,0,No,Apartment ,65,Unknown,Good,No,1100.0
455,3,USA hyper equipped,2,1,1,245,Not specified,53,Gas,No,950.0,200,No,Apartment ,100,Unknown,As new,Unknown,1150.0
456,0,Hyper equipped,1,1,1,181,Not specified,52,Gas,Yes,1550.0,220,No,Apartment ,80,Yes,As new,No,1770.0
457,3,Hyper equipped,2,1,2,137,Not specified,34,Gas,Yes,1475.0,50,No,Others,120,No,As new,No,1525.0
459,5,Hyper equipped,2,1,2,75,B,15,Gas,Yes,1350.0,120,No,Apartment ,102,No,As new,Yes,1470.0
460,2,Hyper equipped,3,2,2,247,E,52,Gas,Yes,1550.0,275,No,Others,110,No,As new,Yes,1825.0
463,3,Installed,2,1,1,418,Others,84,Gas,No,1150.0,0,No,Apartment ,92,No,Good,No,1150.0
464,2,Others,1,1,1,60,B,12,Gas,Yes,1050.0,260,No,Apartment ,68,No,Good,Yes,1310.0
465,0,Others,1,1,1,277,Not specified,61,Gas,Yes,750.0,35,No,Others,58,Yes,Others,Unknown,785.0
466,3,Hyper equipped,2,1,1,139,C,29,Gas,Yes,1095.0,100,No,Apartment ,98,No,As new,Unknown,1195.0
467,0,Others,1,1,1,277,Not specified,61,Gas,Yes,750.0,35,No,Apartment ,58,Yes,Others,Unknown,785.0
468,0,Others,1,1,1,270,E,54,Gas,Yes,750.0,145,No,Others,53,No,As new,Unknown,895.0
469,6,Installed,2,1,2,246,E,72,Others,Yes,1500.0,0,No,Apartment ,130,No,Good,Yes,1500.0
470,2,USA installed,2,1,2,191,D,41,Gas,Yes,1350.0,50,No,Apartment ,85,No,As new,Unknown,1400.0
472,1,Hyper equipped,1,1,1,90,B,18,Gas,Yes,1250.0,150,No,Apartment ,80,No,As new,Yes,1400.0
473,2,Others,1,1,1,365,Not specified,79,Gas,Yes,800.0,60,No,Apartment ,50,Unknown,As new,No,860.0
474,1,Hyper equipped,1,1,2,272,Not specified,58,Gas,No,850.0,20,No,Apartment ,60,Unknown,As new,No,870.0
475,0,USA hyper equipped,1,1,1,418,Others,66,Others,Yes,695.0,125,No,Others,33,Yes,As new,Yes,820.0
476,1,Installed,1,1,1,365,Not specified,79,Gas,Yes,800.0,30,No,Apartment ,60,No,As new,Yes,830.0
477,4,Hyper equipped,1,1,1,201,D,39,Gas,Yes,890.0,100,No,Apartment ,64,No,As new,Yes,990.0
479,1,USA installed,1,1,1,124,Not specified,20,Gas,Yes,870.0,25,No,Apartment ,62,Unknown,As new,No,895.0
480,4,Installed,1,1,1,263,Not specified,50,Gas,No,900.0,50,No,Apartment ,60,Yes,As new,Unknown,950.0
481,0,Others,1,1,1,206,Not specified,50,Gas,Yes,1050.0,25,No,Apartment ,75,No,Just renovated,Unknown,1075.0
483,5,Hyper equipped,1,1,1,73,B,14,Gas,Yes,1400.0,120,No,Apartment ,70,No,As new,Yes,1520.0
484,3,USA installed,1,1,1,270,Not specified,66,Gas,Yes,720.0,250,No,Apartment ,50,No,Good,No,970.0
486,2,Hyper equipped,2,1,1,125,Not specified,26,Gas,Yes,1495.0,50,No,Apartment ,114,No,Good,Unknown,1545.0
487,1,Hyper equipped,3,1,1,318,F,63,Gas,Yes,1690.0,350,No,Apartment ,113,No,As new,Yes,2040.0
488,1,Hyper equipped,2,2,2,324,F,64,Gas,Yes,1950.0,250,No,Duplex ,135,Yes,As new,No,2200.0
489,2,USA hyper equipped,2,1,2,406,Others,86,Gas,Yes,1700.0,0,No,Duplex ,128,No,Good,Unknown,1700.0
492,6,Hyper equipped,1,1,1,308,Not specified,48,Gas,Yes,1395.0,100,No,Apartment ,75,No,Just renovated,Yes,1495.0
493,0,Hyper equipped,2,1,1,275,E,55,Gas,Yes,1350.0,200,No,Others,78,No,Good,Yes,1550.0
494,0,USA hyper equipped,1,1,1,234,Not specified,49,Gas,Yes,1150.0,50,No,Others,70,No,As new,Yes,1200.0
495,3,USA hyper equipped,2,1,1,247,Not specified,63,Gas,Yes,1250.0,50,No,Apartment ,80,No,As new,Yes,1300.0
496,0,USA hyper equipped,1,1,1,234,Not specified,49,Gas,Yes,1150.0,50,No,Apartment ,70,No,As new,Yes,1200.0
497,2,USA hyper equipped,2,1,1,247,Not specified,63,Gas,Yes,1250.0,50,No,Apartment ,80,No,As new,Yes,1300.0
498,1,USA hyper equipped,1,1,1,233,Not specified,58,Gas,Yes,1100.0,50,No,Apartment ,60,No,As new,Yes,1150.0
499,1,USA hyper equipped,2,1,1,247,Not specified,63,Gas,Yes,1250.0,90,No,Apartment ,85,No,As new,Yes,1340.0
500,3,USA hyper equipped,1,1,1,233,Not specified,58,Gas,Yes,1100.0,50,No,Apartment ,60,No,As new,Yes,1150.0
501,1,USA hyper equipped,2,1,1,247,Not specified,63,Gas,Yes,1250.0,50,No,Apartment ,80,No,As new,Yes,1300.0
504,6,Installed,2,1,1,233,Not specified,58,Gas,No,1100.0,150,No,Apartment ,116,Unknown,As new,Yes,1250.0
506,4,Hyper equipped,1,1,1,194,D,47,Gas,Yes,1300.0,100,No,Apartment ,127,No,Just renovated,Yes,1400.0
507,0,Installed,2,2,1,338,F,50,Gas,Yes,1050.0,0,No,Duplex ,98,Unknown,As new,Unknown,1050.0
508,3,Hyper equipped,1,1,1,233,Not specified,58,Gas,Yes,1100.0,180,No,Apartment ,55,Yes,As new,No,1280.0
509,1,USA hyper equipped,1,1,2,83,B,18,Gas,Yes,1250.0,130,No,Apartment ,64,Yes,As new,Yes,1380.0
510,3,Others,1,1,1,299,F,79,Gas,Yes,800.0,200,No,Apartment ,70,No,Good,Unknown,1000.0
512,5,USA hyper equipped,1,1,1,182,Not specified,36,Gas,Yes,860.0,35,No,Apartment ,85,No,Good,Unknown,895.0
514,0,Hyper equipped,1,1,1,365,Not specified,79,Gas,No,800.0,0,No,Others,40,Unknown,As new,Unknown,800.0
516,0,Hyper equipped,3,2,3,244,E,52,Gas,Yes,2550.0,100,No,Others,130,No,As new,No,2650.0
517,4,Hyper equipped,3,3,2,139,C,29,Gas,Yes,1900.0,275,No,Apartment ,123,No,As new,Yes,2175.0
519,1,USA hyper equipped,1,1,1,150,C,32,Gas,Yes,1150.0,250,No,Apartment ,51,Yes,As new,Yes,1400.0
520,6,Hyper equipped,3,1,2,133,C,28,Gas,Yes,1350.0,275,No,Apartment ,113,Unknown,Good,Yes,1625.0
521,0,Hyper equipped,2,1,1,243,Not specified,51,Others,No,985.0,90,No,Others,80,No,As new,Yes,1075.0
522,1,Hyper equipped,2,2,2,184,D,36,Gas,Yes,2250.0,100,No,Apartment ,130,No,As new,Yes,2350.0
524,0,Installed,3,1,2,195,Not specified,40,Gas,No,1750.0,0,No,Others,128,No,As new,Unknown,1750.0
525,1,Installed,2,1,1,190,D,40,Gas,No,1575.0,75,No,Apartment ,100,No,As new,Unknown,1650.0
526,0,USA installed,2,2,2,252,E,40,Gas,Yes,1550.0,175,No,Apartment ,88,Yes,As new,Yes,1725.0
527,5,USA hyper equipped,1,1,1,215,E,46,Gas,Yes,1400.0,250,No,Apartment ,66,Yes,As new,Yes,1650.0
528,2,USA hyper equipped,2,1,1,79,B,15,Gas,Yes,1600.0,250,No,Apartment ,97,Yes,As new,Yes,1850.0
530,0,Installed,3,2,3,165,D,44,Others,Yes,2100.0,0,No,Others,180,No,As new,No,2100.0
531,2,USA hyper equipped,1,1,1,119,C,25,Gas,Yes,1150.0,150,No,Apartment ,56,Yes,As new,Yes,1300.0
532,2,Installed,1,1,1,252,E,50,Gas,Yes,850.0,25,No,Apartment ,50,No,As new,Unknown,875.0
533,4,USA installed,1,1,1,263,Not specified,50,Gas,Yes,900.0,300,No,Others,35,Yes,Good,Unknown,1200.0
534,1,Installed,2,1,1,199,Not specified,41,Gas,No,1380.0,150,No,Apartment ,70,No,As new,Unknown,1530.0
537,1,USA hyper equipped,2,1,2,69,B,13,Gas,Yes,1600.0,200,No,Apartment ,110,No,As new,Yes,1800.0
538,1,Installed,2,1,1,272,Not specified,58,Gas,Yes,850.0,150,No,Apartment ,70,No,Good,Yes,1000.0
539,3,Hyper equipped,1,1,1,256,E,67,Gas,Yes,850.0,125,No,Apartment ,60,Unknown,Good,No,975.0
540,2,Hyper equipped,2,2,3,79,B,47,Gas,Yes,1850.0,0,No,Apartment ,130,No,As new,Yes,1850.0
542,0,USA hyper equipped,3,2,2,199,Not specified,43,Gas,Yes,2500.0,250,No,Others,160,No,As new,Yes,2750.0
543,1,Installed,2,1,1,175,D,37,Gas,Yes,1200.0,200,No,Apartment ,100,No,As new,Yes,1400.0
544,2,USA hyper equipped,2,1,1,427,Others,36,Gas,Yes,2000.0,0,No,Apartment ,120,Yes,Just renovated,Unknown,2000.0
551,2,Others,1,1,1,277,Not specified,61,Others,Yes,750.0,50,No,Apartment ,50,Unknown,Good,No,800.0
552,1,USA hyper equipped,2,1,1,211,D,40,Gas,Yes,960.0,35,No,Apartment ,90,No,Just renovated,No,995.0
553,3,Hyper equipped,1,1,1,170,D,36,Gas,Yes,895.0,90,No,Apartment ,45,No,As new,Unknown,985.0
554,2,Hyper equipped,1,1,2,182,Not specified,40,Gas,Yes,925.0,70,No,Apartment ,60,Unknown,As new,Unknown,995.0
555,1,Hyper equipped,1,1,1,225,E,45,Gas,Yes,1200.0,200,No,Apartment ,55,Yes,As new,Unknown,1400.0
556,2,USA installed,1,1,1,185,D,79,Gas,Yes,800.0,0,No,Apartment ,65,Yes,Good,Unknown,800.0
557,1,Hyper equipped,2,1,2,183,D,36,Gas,Yes,1150.0,300,No,Apartment ,93,No,Good,Yes,1450.0
560,2,Others,1,1,1,199,D,39,Gas,Yes,850.0,60,No,Apartment ,60,No,Good,No,910.0
566,0,Others,1,1,1,202,D,40,Gas,Yes,950.0,77,No,Apartment ,56,No,Good,Yes,1027.0
567,2,Installed,1,1,1,222,Not specified,47,Gas,Yes,770.0,20,No,Apartment ,55,No,Good,No,790.0
568,0,USA hyper equipped,1,1,1,302,F,60,Gas,Yes,850.0,100,No,Others,35,Yes,As new,Yes,950.0
569,3,USA hyper equipped,2,2,2,255,E,51,Gas,Yes,2470.0,150,No,Apartment ,123,No,As new,Yes,2620.0
570,4,USA hyper equipped,2,2,2,255,E,51,Gas,Yes,2580.0,150,No,Others,122,No,As new,Yes,2730.0
571,1,USA hyper equipped,2,1,1,308,F,61,Gas,Yes,1600.0,230,No,Apartment ,85,Yes,As new,No,1830.0
572,3,Hyper equipped,2,1,1,162,D,35,Gas,Yes,1400.0,175,No,Apartment ,110,No,Good,Unknown,1575.0
573,1,Hyper equipped,2,2,2,167,D,36,Gas,Yes,1350.0,180,No,Apartment ,120,No,As new,Yes,1530.0
574,2,Hyper equipped,2,2,2,119,C,26,Gas,Yes,1450.0,150,No,Apartment ,115,No,As new,Yes,1600.0
575,2,Hyper equipped,1,1,2,425,Others,91,Gas,Yes,850.0,0,No,Apartment ,80,Unknown,As new,Unknown,850.0
576,0,USA hyper equipped,2,1,1,232,E,46,Gas,Yes,1850.0,0,No,Others,90,Yes,As new,No,1850.0
